rowindex,Session,Subject,SubjectID,Timing,eventType,eventIndex,eventClicked,task,columnIndex,round,stateIndex,clueSeen,question,answer,error,tasktype,maxtask,mintask,tasktypeindex,taskchosen,cluesviewed,miliseconds,seconds,cluemath,cluews,clueboth,clueindex,maxtaskchosen,correct,wrong
86,2,6,135264567,2078,task,1,Task 2,2,1,41,2,mixed up,,,,T,2,2,,0,1,5674,5.673999786,0,1,0,3,0,,
87,2,6,135264567,3596,trial,0,AGFL,,1,41,2,FLAG,AGFL,FLAG,,A,2,2,0,0,1,5674,5.673999786,0,0,0,,0,1,0
88,2,6,135264567,2631,task,1,Task 3,3,1,42,2,1 problem,,,,T,3,3,,0,1,7078,7.078000069,0,1,0,1,0,,
89,2,6,135264567,4447,trial,0,VEFI,,1,42,2,FIVE,VEFI,FIVE,,V,3,3,0,0,1,7078,7.078000069,0,0,0,,0,1,0
90,2,6,135264567,1580,task,1,Task 2,2,1,43,1,Numerical,,,,T,2,2,,1,1,9134,9.133999825,1,0,0,13,1,,
91,2,6,135264567,7554,trial,0,90+55+99,,1,43,1,244,90+55+99,244,,9,2,2,1,1,1,9134,9.133999825,0,0,0,,1,1,0
92,2,6,135264567,713,task,1,Task 4,4,1,44,1,Totalling up,,,,T,4,4,,1,1,4698,4.697999954,1,0,0,14,1,,
93,2,6,135264567,3985,trial,0,81+81+81,,1,44,1,243,81+81+81,243,,8,4,4,1,1,1,4698,4.697999954,0,0,0,,1,1,0
94,2,6,135264567,879,task,1,Task 6,6,2,45,1,won't need paper & pencil to solve,,,,T,6,6,,0,1,5069,5.068999767,0,1,0,6,0,,
95,2,6,135264567,4190,trial,0,TSFI,,2,45,1,FITS,TSFI,FITS,,T,6,6,0,0,1,5069,5.068999767,0,0,0,,0,1,0
96,2,6,135264567,683,task,1,Task 3,3,1,46,1,1 problem to solve,,,,T,3,3,,1,1,9532,9.531999588,1,0,0,21,1,,
97,2,6,135264567,8849,trial,0,85+71+84,,1,46,1,240,85+71+84,240,,8,3,3,1,1,1,9532,9.531999588,0,0,0,,1,1,0
98,2,6,135264567,711,task,1,Task 3,3,1,47,2,words,,,,T,3,3,,0,1,6044,6.044000149,0,1,0,7,0,,
99,2,6,135264567,5333,trial,0,STFI,,1,47,2,FIST,STFI,FIST,,S,3,3,0,0,1,6044,6.044000149,0,0,0,,0,1,0
100,2,6,135264567,616,task,1,Task 3,3,1,48,2,50 percent of previous players thought this task was harder than average,,,,T,3,3,,0,1,4438,4.438000202,0,0,0,12,0,,
101,2,6,135264567,3822,trial,0,SHFI,,1,48,2,FISH,SHFI,FISH,,S,3,3,0,0,1,4438,4.438000202,0,0,0,,0,1,0
102,2,6,135264567,856,task,1,Task 4,4,1,49,1,Analytical skills,,,,T,4,4,,1,1,5818,5.81799984,1,0,0,22,1,,
103,2,6,135264567,4962,trial,0,80+80+80,,1,49,1,240,80+80+80,240,,8,4,4,1,1,1,5818,5.81799984,0,0,0,,1,1,0
104,2,6,135264567,855,task,1,Task 5,5,1,50,2,50 percent of previous players thought this task was harder than average,,,,T,5,5,,0,1,6699,6.698999882,0,0,0,12,0,,
105,2,6,135264567,5844,trial,0,RMFI,,1,50,2,FIRM,RMFI,FIRM,,R,5,5,0,0,1,6699,6.698999882,0,0,0,,0,1,0
